"Longitude","Latitude","Elevation","Altitude","Clutter_height","Distance","Path_Loss"
3.163405083,6.675159987,51,55,6,61,"D"
3.163405083,6.675159987,51,55,6,61,"D"
3.163404976,6.675168986,51,55,6,61,"D"
3.163404976,6.675168986,51,55,6,61,"D"
3.163404869,6.675177985,51,55,6,61,"D"
3.163404869,6.675177985,51,55,6,61,"C"
3.16339544,6.675213873,51,55,6,61,"D"
3.16339544,6.675213873,51,55,6,61,"D"
3.163424046,6.675079211,51,56,6,62,"C"
3.163424046,6.675079211,51,55,6,62,"C"
3.163414832,6.675097101,51,55,6,62,"C"
3.163414832,6.675097101,51,55,6,62,"C"
3.163414725,6.6751061,51,55,6,62,"C"
3.163414725,6.6751061,51,55,6,62,"C"
3.163414618,6.675115099,51,55,6,62,"C"
3.163414618,6.675115099,51,55,6,62,"C"
3.163414511,6.675124098,51,55,6,62,"C"
3.163414511,6.675124098,51,55,6,62,"D"
3.163414404,6.675133097,51,55,6,62,"D"
3.163414404,6.675133097,51,55,6,62,"D"
3.163414297,6.675142096,51,55,6,62,"D"
3.163414297,6.675142096,51,55,6,62,"D"
3.16341419,6.675151095,51,55,6,62,"D"
3.16341419,6.675151095,51,55,6,62,"D"
3.163404762,6.675186983,51,55,6,62,"C"
3.163404655,6.675195982,51,55,6,62,"C"
3.163404548,6.675204981,51,55,6,62,"C"
3.163404548,6.675204981,51,55,6,62,"D"
3.163395333,6.675222872,51,55,6,62,"D"
3.163395226,6.675231871,51,55,6,62,"D"
3.163395226,6.675231871,51,55,6,62,"E"
3.16339512,6.67524087,51,55,6,62,"E"
3.163395013,6.675249869,51,55,6,62,"E"
3.163395013,6.675249869,51,55,6,62,"D"
3.163385905,6.675258761,51,55,6,62,"D"
3.163385798,6.675267759,51,56,6,62,"D"
3.163385798,6.675267759,51,56,6,62,"C"
3.163424153,6.675070212,51,56,6,63,"C"
3.163424153,6.675070212,51,56,6,63,"C"
3.163423939,6.67508821,51,55,6,63,"C"
3.163423939,6.67508821,51,55,6,63,"C"
3.163423832,6.675097208,51,55,6,63,"C"
3.163423832,6.675097208,51,55,6,63,"C"
3.163385691,6.675276758,51,56,6,63,"C"
3.163385584,6.675285757,51,56,6,63,"C"
3.163385477,6.675294756,51,56,6,63,"C"
3.16337637,6.675303648,51,56,6,63,"C"
3.16337637,6.675303648,51,56,6,63,"D"
3.163376263,6.675312647,51,56,6,63,"D"
3.16343326,6.67506132,51,56,6,64,"D"
3.16343326,6.67506132,51,56,6,64,"D"
3.163433153,6.675070319,51,56,6,64,"D"
3.163433153,6.675070319,51,56,6,64,"C"
3.163376156,6.675321646,51,56,6,64,"D"
3.163376156,6.675321646,51,56,6,64,"D"
3.163376049,6.675330645,51,56,6,64,"D"
3.163442368,6.675052428,51,56,6,65,"D"
3.163442368,6.675052428,51,56,6,65,"D"
3.163442261,6.675061427,51,56,6,65,"D"
3.163442261,6.675061427,51,56,6,65,"D"
3.163375835,6.675348642,51,56,6,65,"D"
3.163375835,6.675348642,51,56,6,65,"C"
3.163366728,6.675357534,51,56,6,65,"C"
3.163366514,6.675375532,51,56,6,65,"C"
3.163366514,6.675375532,51,56,6,65,"C"
3.163451475,6.675043536,51,57,6,66,"A"
3.163451368,6.675052535,51,57,6,66,"A"
3.163451368,6.675052535,51,56,6,66,"A"
3.163357299,6.675393423,51,56,6,66,"D"
3.163460583,6.675034644,51,57,6,67,"A"
3.163460476,6.675043643,51,57,6,67,"A"
3.1633663,6.67539353,51,56,6,67,"C"
3.1633663,6.67539353,51,56,6,67,"D"
3.163357085,6.675411421,51,56,6,67,"D"
3.163356979,6.67542042,51,56,6,67,"D"
3.163356979,6.67542042,51,56,6,67,"D"
