Longitude,Latitude,Elevation (m),Altitude (m),Clutter height (m),Distance (m),PathLoss(db)
3.162865911,6.675081579,50,56,6,1,135
3.162865804,6.675090578,50,56,6,2,129
3.162865804,6.675090578,50,55,6,2,129
3.162865697,6.675099577,50,55,6,3,130
3.16286559,6.675108576,50,55,6,4,134
3.162865483,6.675117575,50,55,6,5,116
3.162856482,6.675117468,50,55,6,6,113
3.162856375,6.675126467,50,55,6,7,113
3.162856269,6.675135466,50,55,6,8,112
3.162856162,6.675144465,50,55,6,9,115
3.162856055,6.675153463,50,55,6,10,117
3.162846947,6.675162355,50,55,16,11,115
3.16284684,6.675171354,50,55,16,12,114
3.162846733,6.675180353,50,55,16,13,113
3.162846626,6.675189352,50,55,16,14,117
3.162837519,6.675198244,50,55,16,15,117
3.162837412,6.675207243,50,55,16,16,118
3.162828304,6.675216135,50,55,16,17,123
3.162828198,6.675225134,50,55,16,18,123
3.16281909,6.675234026,50,55,16,19,126
3.162818983,6.675243024,50,55,16,20,133
3.162809876,6.675251916,50,55,16,21,133
3.162800768,6.675260808,50,55,16,23,141
3.162791768,6.675260701,50,55,16,23,146
3.162791661,6.6752697,50,55,16,24,137
3.16278266,6.675269593,50,55,16,24,137
3.162773553,6.675278485,50,55,16,26,141
3.162764553,6.675278378,50,55,16,26,141
3.162755552,6.675278271,50,55,16,26,145
3.162746552,6.675278164,50,55,16,27,145
3.162737444,6.675287056,50,55,16,28,139
3.162728444,6.675286949,50,55,16,29,140
3.162719443,6.675286842,50,55,16,29,138
3.162710443,6.675286735,49,55,16,30,138
3.162701442,6.675286628,49,55,16,30,143
3.162692442,6.675286521,49,55,16,31,140
3.162683441,6.675286415,49,55,16,32,140
3.162674441,6.675286308,49,55,16,32,139
3.162665441,6.675286201,49,55,16,33,140
3.16265644,6.675286094,49,55,16,34,140
3.162647547,6.675276988,49,55,16,34,138
3.162629546,6.675276774,49,55,16,35,141
3.162620545,6.675276667,49,55,16,36,141
3.162611545,6.67527656,49,55,16,37,145
3.162602544,6.675276453,49,55,16,38,145
3.162593651,6.675267347,49,55,16,38,143
3.16258465,6.67526724,49,55,16,39,143
3.16257565,6.675267133,49,55,16,39,144
3.16256665,6.675267026,49,55,16,40,144
3.162557649,6.675266919,49,55,16,41,142
3.162539648,6.675266706,49,55,16,43,148
3.162530648,6.675266599,49,55,16,44,147
3.162521647,6.675266492,49,55,16,44,147
3.162521754,6.675257493,49,55,16,44,141
3.162512754,6.675257386,49,55,16,45,141
3.162503753,6.675257279,49,55,16,46,138
3.162494753,6.675257172,49,55,16,47,138
3.162485752,6.675257065,49,55,16,47,135
3.162476752,6.675256958,49,55,16,48,135
3.162458751,6.675256744,48,55,16,50,136
